id,accountid,pid,spid,target,amount,assetcode,assetissuer,memo,itype,qr,qrtype,status,txhash,created,payed,cb,paymemo,trust,sn,utype,assetname,assetlabel,platform,version,ip
1.20E+18,VC2J6O6XQEZ6PRYNXHUDYDQS4WFZZ5HRSTDCRXP7UY4EOAG4BXXDA2P5,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,5,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/tsx18734y00rea6zlahgl6f,1,2,038e62a37accb91660534212c72cebc2c28f29f75622392a3005519cc01230cd,53:29.5,53:45.7,,,-1,00000000-1dfe-6948-1dfe-694800000000,0,HCT,HCT,android,6,60.208.82.182
1.20E+18,VC2J6O6XQEZ6PRYNXHUDYDQS4WFZZ5HRSTDCRXP7UY4EOAG4BXXDA2P5,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,4,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/tsx18734y00rea6zlahgl6f,1,-10,a6c5e4f6caa837bdb8e4fcfb48197b1cf6382e2f4973f5d25b17b43048797c59,53:59.5,56:48.0,,,-1,00000000-1dfe-6948-1dfe-694800000000,0,HCT,HCT,android,6,60.208.82.182
1.20E+18,VCQ7MDNTK3Q2RYKEZYJ5TEGL3PJYJ46O2HI75U3DRBG67KCCWRL4KRCB,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,0.01,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,HTTPS://QR.ALIPAY.COM/FKX03374NH9KRU7F1QPR09,1,2,a5cbffcb4b4832aea9623d1b1e9d172b684ff4ebf49586cb93e781e132ea4f89,03:53.0,04:32.7,,1.20E+18,-1,ffffffff-a0da-336e-a0da-336e00000000,0,HCT,HCT,android,6,60.208.82.182
1.20E+18,VCHOLJY23C346YZVUDIGSYZ53JN7I3BLXOM6XSS4LZ7WJWHLRBY7V6G7,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,0.5,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,HTTPS://QR.ALIPAY.COM/FKX03862O2RY3ZIYVLQI65?t=1575014539541,1,-10,82314e926642b7d6376e508cf8f76a5ee05112e9cb0551203e4781dcfc9fe0dc,04:32.0,05:06.4,,1.20E+18,-1,ffffffff-a0da-336e-a0da-336e00000000,0,HCT,HCT,android,6,60.208.82.182
1.20E+18,VCHOLJY23C346YZVUDIGSYZ53JN7I3BLXOM6XSS4LZ7WJWHLRBY7V6G7,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,1.5,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,HTTPS://QR.ALIPAY.COM/FKX03862O2RY3ZIYVLQI65?t=1575014539541,1,-10,a94b01b330c4115d86c7b811522d7e980d84165f49fbdb225aadaee273f03760,07:34.3,08:10.1,,,-1,00000000-1dfe-6948-1dfe-694800000000,0,HCT,HCT,android,6,60.208.82.182
1.20E+18,VCHOLJY23C346YZVUDIGSYZ53JN7I3BLXOM6XSS4LZ7WJWHLRBY7V6G7,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,1.5,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,HTTPS://QR.ALIPAY.COM/FKX03862O2RY3ZIYVLQI65?t=1575014539541,1,-10,a94b01b330c4115d86c7b811522d7e980d84165f49fbdb225aadaee273f03760,09:54.8,,,HTTPS://QR.ALIPAY.COM/FKX03862O2RY3ZIYVLQI65?t=1575014539541,-1,00000000-1dfe-6948-1dfe-694800000000,0,HCT,HCT,android,6,60.208.82.182
1.20E+18,VCE57YZNGJGYXNVOAKM3ZKCMISKTXMERBKXFYJEXSA5I35RZILPLMMWS,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,2,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/fkx11067dirurf0dkprzj72?t=1575087113969,1,2,b633c2cdec9913e5f84591304cfb107b5b3d6ba9c3cadd63edce926ce5ff2a84,12:19.5,12:37.7,,1.20E+18,-1,ffffffff-a0da-336e-a0da-336e00000000,0,HCT,HCT,android,6,112.224.33.161
1.20E+18,VCE57YZNGJGYXNVOAKM3ZKCMISKTXMERBKXFYJEXSA5I35RZILPLMMWS,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,18,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,HTTPS://QR.ALIPAY.COM/FKX02872JV3TLGACHZVV83?t=1575087250412,1,2,cc8b72bed044d388cc2962f61e50dff4ca821634cd77a7e840babfc8118203f9,14:23.6,14:42.7,,1.20E+18,-1,ffffffff-a0da-336e-a0da-336e00000000,0,HCT,HCT,android,6,112.224.33.161
1.20E+18,VCHOLJY23C346YZVUDIGSYZ53JN7I3BLXOM6XSS4LZ7WJWHLRBY7V6G7,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,1.5,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,HTTPS://QR.ALIPAY.COM/FKX03862O2RY3ZIYVLQI65?t=1575014539541,1,2,a94b01b330c4115d86c7b811522d7e980d84165f49fbdb225aadaee273f03760,48:06.3,49:03.7,,1.20E+18,-1,ffffffff-a0da-336e-a0da-336e00000000,0,HCT,HCT,android,6,60.208.82.182
1.20E+18,VCE37DDGLYTIJVFAG4RMCVN6WAQBPVO23N6FL7AJ7GKHBSFVPIYLQP5S,1.20E+18,1.20E+18,VBFEPKRIAY6ACRMJ53FDLKTKGO4AISRFCOUOX3LRKZKYCQR6G5NT6BUY,1,HCT20191222,VA644LGTAZ7SIPIJETF3DTHSHMQ47NU57ZP2LUDVKGKRYS4DLOMNTUBE,,1,https://qr.alipay.com/fkx01394uxzqxndxxjr5z48,1,2,0c1f8c70249d22041d4094e7008c1278b6b13ea1a8ddb56d1a679037b5ffd480,50:49.3,51:07.7,,1.20E+18,-1,ffffffff-a0da-336e-a0da-336e00000000,0,HCT,HCT,android,6,112.224.1.14
